student_id,display_name,is_synthetic,ability_band,initial_general_ability,created_at,latent_profile_json,data_label
S00001,Synthetic Student 00001,True,proficient,0.592,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.6928, ""DNS"": 0.8618, ""HTTP"": 0.8378, ""IP Addressing"": 0.8005, ""Network Security"": 0.7989, ""OSI"": 0.759, ""Routing"": 0.7866, ""TCP"": 0.6737, ""TCP/IP"": 0.6718, ""UDP"": 0.8507}, ""DBMS"": {""Concurrency Control"": 0.7538, ""DBMS Basics"": 0.8285, ""ER Model"": 0.6906, ""Indexing"": 0.7502, ""Joins"": 0.8778, ""Keys"": 0.6692, ""Normalization"": 0.6573, ""Relational Algebra"": 0.9191, ""SQL"": 0.8166, ""Transactions"": 0.7664}, ""DSA"": {""Arrays"": 0.8249, ""Dynamic Programming"": 0.72, ""Graphs"": 0.6097, ""Hashing"": 0.8176, ""Heap"": 0.8054, ""Linked Lists"": 0.5558, ""Recursion"": 0.6741, ""Stack & Queue"": 0.7274, ""Strings"": 0.4779, ""Trees"": 0.7101}, ""Operating Systems"": {""CPU Scheduling"": 0.5873, ""Deadlocks"": 0.5673, ""File Systems"": 0.4747, ""I/O Management"": 0.4258, ""Memory Management"": 0.573, ""Paging"": 0.5752, ""Processes"": 0.4812, ""Security"": 0.5974, ""Synchronization"": 0.7805, ""Threads"": 0.462}, ""Software Engineering"": {""Agile"": 0.8129, ""Design Patterns"": 0.6984, ""Git/Version Control"": 0.6931, ""Project Management"": 0.6548, ""SDLC"": 0.7583, ""SRS"": 0.7661, ""Software Quality"": 0.675, ""Testing"": 0.8072, ""UML"": 0.5566, ""Waterfall"": 0.7395}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00002,Synthetic Student 00002,True,emerging,0.2051,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.05, ""DNS"": 0.05, ""HTTP"": 0.1853, ""IP Addressing"": 0.092, ""Network Security"": 0.0946, ""OSI"": 0.1278, ""Routing"": 0.2932, ""TCP"": 0.05, ""TCP/IP"": 0.05, ""UDP"": 0.05}, ""DBMS"": {""Concurrency Control"": 0.1348, ""DBMS Basics"": 0.05, ""ER Model"": 0.1551, ""Indexing"": 0.099, ""Joins"": 0.1629, ""Keys"": 0.05, ""Normalization"": 0.0971, ""Relational Algebra"": 0.05, ""SQL"": 0.1397, ""Transactions"": 0.05}, ""DSA"": {""Arrays"": 0.158, ""Dynamic Programming"": 0.337, ""Graphs"": 0.3181, ""Hashing"": 0.3045, ""Heap"": 0.4629, ""Linked Lists"": 0.3795, ""Recursion"": 0.4453, ""Stack & Queue"": 0.4303, ""Strings"": 0.3198, ""Trees"": 0.4552}, ""Operating Systems"": {""CPU Scheduling"": 0.0533, ""Deadlocks"": 0.05, ""File Systems"": 0.1568, ""I/O Management"": 0.179, ""Memory Management"": 0.1576, ""Paging"": 0.05, ""Processes"": 0.0556, ""Security"": 0.0873, ""Synchronization"": 0.1007, ""Threads"": 0.1527}, ""Software Engineering"": {""Agile"": 0.2984, ""Design Patterns"": 0.1495, ""Git/Version Control"": 0.3752, ""Project Management"": 0.2518, ""SDLC"": 0.211, ""SRS"": 0.2824, ""Software Quality"": 0.3516, ""Testing"": 0.4239, ""UML"": 0.1158, ""Waterfall"": 0.2091}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00003,Synthetic Student 00003,True,proficient,0.6303,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.671, ""DNS"": 0.649, ""HTTP"": 0.8676, ""IP Addressing"": 0.7733, ""Network Security"": 0.5132, ""OSI"": 0.6364, ""Routing"": 0.5955, ""TCP"": 0.4545, ""TCP/IP"": 0.5311, ""UDP"": 0.5971}, ""DBMS"": {""Concurrency Control"": 0.5407, ""DBMS Basics"": 0.3633, ""ER Model"": 0.3182, ""Indexing"": 0.2636, ""Joins"": 0.5163, ""Keys"": 0.3289, ""Normalization"": 0.2749, ""Relational Algebra"": 0.4777, ""SQL"": 0.3933, ""Transactions"": 0.4134}, ""DSA"": {""Arrays"": 0.6701, ""Dynamic Programming"": 0.8431, ""Graphs"": 0.8306, ""Hashing"": 0.7677, ""Heap"": 0.7103, ""Linked Lists"": 0.6388, ""Recursion"": 0.689, ""Stack & Queue"": 0.5447, ""Strings"": 0.8597, ""Trees"": 0.6939}, ""Operating Systems"": {""CPU Scheduling"": 0.98, ""Deadlocks"": 0.831, ""File Systems"": 0.8999, ""I/O Management"": 0.9329, ""Memory Management"": 0.6939, ""Paging"": 0.98, ""Processes"": 0.98, ""Security"": 0.98, ""Synchronization"": 0.8522, ""Threads"": 0.8763}, ""Software Engineering"": {""Agile"": 0.7313, ""Design Patterns"": 0.3973, ""Git/Version Control"": 0.5221, ""Project Management"": 0.471, ""SDLC"": 0.3888, ""SRS"": 0.5765, ""Software Quality"": 0.4571, ""Testing"": 0.3675, ""UML"": 0.5877, ""Waterfall"": 0.3773}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00004,Synthetic Student 00004,True,emerging,0.2359,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.05, ""DNS"": 0.05, ""HTTP"": 0.1046, ""IP Addressing"": 0.0616, ""Network Security"": 0.1655, ""OSI"": 0.05, ""Routing"": 0.2213, ""TCP"": 0.0609, ""TCP/IP"": 0.05, ""UDP"": 0.2109}, ""DBMS"": {""Concurrency Control"": 0.1716, ""DBMS Basics"": 0.4888, ""ER Model"": 0.2585, ""Indexing"": 0.2829, ""Joins"": 0.5026, ""Keys"": 0.3265, ""Normalization"": 0.1403, ""Relational Algebra"": 0.4799, ""SQL"": 0.1575, ""Transactions"": 0.5113}, ""DSA"": {""Arrays"": 0.05, ""Dynamic Programming"": 0.2128, ""Graphs"": 0.2367, ""Hashing"": 0.1063, ""Heap"": 0.05, ""Linked Lists"": 0.2695, ""Recursion"": 0.0658, ""Stack & Queue"": 0.0992, ""Strings"": 0.1007, ""Trees"": 0.1143}, ""Operating Systems"": {""CPU Scheduling"": 0.05, ""Deadlocks"": 0.0921, ""File Systems"": 0.1036, ""I/O Management"": 0.05, ""Memory Management"": 0.0731, ""Paging"": 0.1332, ""Processes"": 0.1699, ""Security"": 0.0869, ""Synchronization"": 0.2616, ""Threads"": 0.17}, ""Software Engineering"": {""Agile"": 0.3663, ""Design Patterns"": 0.6751, ""Git/Version Control"": 0.4607, ""Project Management"": 0.752, ""SDLC"": 0.4313, ""SRS"": 0.479, ""Software Quality"": 0.4772, ""Testing"": 0.471, ""UML"": 0.3197, ""Waterfall"": 0.423}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00005,Synthetic Student 00005,True,advanced,0.8242,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.6488, ""DNS"": 0.7417, ""HTTP"": 0.7354, ""IP Addressing"": 0.7733, ""Network Security"": 0.98, ""OSI"": 0.7919, ""Routing"": 0.7237, ""TCP"": 0.754, ""TCP/IP"": 0.8569, ""UDP"": 0.7776}, ""DBMS"": {""Concurrency Control"": 0.8501, ""DBMS Basics"": 0.5982, ""ER Model"": 0.6685, ""Indexing"": 0.98, ""Joins"": 0.6775, ""Keys"": 0.6331, ""Normalization"": 0.6546, ""Relational Algebra"": 0.7649, ""SQL"": 0.98, ""Transactions"": 0.98}, ""DSA"": {""Arrays"": 0.5192, ""Dynamic Programming"": 0.4848, ""Graphs"": 0.5705, ""Hashing"": 0.4626, ""Heap"": 0.5265, ""Linked Lists"": 0.7347, ""Recursion"": 0.5115, ""Stack & Queue"": 0.5026, ""Strings"": 0.6279, ""Trees"": 0.3324}, ""Operating Systems"": {""CPU Scheduling"": 0.9306, ""Deadlocks"": 0.98, ""File Systems"": 0.795, ""I/O Management"": 0.928, ""Memory Management"": 0.98, ""Paging"": 0.9149, ""Processes"": 0.8416, ""Security"": 0.98, ""Synchronization"": 0.9439, ""Threads"": 0.9314}, ""Software Engineering"": {""Agile"": 0.8684, ""Design Patterns"": 0.8267, ""Git/Version Control"": 0.7506, ""Project Management"": 0.98, ""SDLC"": 0.98, ""SRS"": 0.98, ""Software Quality"": 0.98, ""Testing"": 0.98, ""UML"": 0.98, ""Waterfall"": 0.8265}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00006,Synthetic Student 00006,True,proficient,0.6898,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.8069, ""DNS"": 0.9026, ""HTTP"": 0.6263, ""IP Addressing"": 0.6743, ""Network Security"": 0.98, ""OSI"": 0.7921, ""Routing"": 0.7528, ""TCP"": 0.9051, ""TCP/IP"": 0.9555, ""UDP"": 0.98}, ""DBMS"": {""Concurrency Control"": 0.4786, ""DBMS Basics"": 0.4481, ""ER Model"": 0.3686, ""Indexing"": 0.2824, ""Joins"": 0.3693, ""Keys"": 0.616, ""Normalization"": 0.5124, ""Relational Algebra"": 0.5647, ""SQL"": 0.2246, ""Transactions"": 0.4013}, ""DSA"": {""Arrays"": 0.6631, ""Dynamic Programming"": 0.6535, ""Graphs"": 0.6698, ""Hashing"": 0.7194, ""Heap"": 0.7337, ""Linked Lists"": 0.6679, ""Recursion"": 0.8748, ""Stack & Queue"": 0.7165, ""Strings"": 0.6858, ""Trees"": 0.3902}, ""Operating Systems"": {""CPU Scheduling"": 0.98, ""Deadlocks"": 0.98, ""File Systems"": 0.968, ""I/O Management"": 0.98, ""Memory Management"": 0.98, ""Paging"": 0.98, ""Processes"": 0.98, ""Security"": 0.8186, ""Synchronization"": 0.9244, ""Threads"": 0.8763}, ""Software Engineering"": {""Agile"": 0.6701, ""Design Patterns"": 0.8283, ""Git/Version Control"": 0.9304, ""Project Management"": 0.5168, ""SDLC"": 0.7079, ""SRS"": 0.6458, ""Software Quality"": 0.8648, ""Testing"": 0.7112, ""UML"": 0.8292, ""Waterfall"": 0.7957}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00007,Synthetic Student 00007,True,proficient,0.701,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.1883, ""DNS"": 0.1882, ""HTTP"": 0.2303, ""IP Addressing"": 0.2852, ""Network Security"": 0.4434, ""OSI"": 0.573, ""Routing"": 0.4332, ""TCP"": 0.3934, ""TCP/IP"": 0.3256, ""UDP"": 0.5376}, ""DBMS"": {""Concurrency Control"": 0.9161, ""DBMS Basics"": 0.7664, ""ER Model"": 0.6113, ""Indexing"": 0.8583, ""Joins"": 0.72, ""Keys"": 0.7707, ""Normalization"": 0.7206, ""Relational Algebra"": 0.7233, ""SQL"": 0.6347, ""Transactions"": 0.7843}, ""DSA"": {""Arrays"": 0.712, ""Dynamic Programming"": 0.98, ""Graphs"": 0.98, ""Hashing"": 0.8911, ""Heap"": 0.98, ""Linked Lists"": 0.98, ""Recursion"": 0.98, ""Stack & Queue"": 0.7698, ""Strings"": 0.8887, ""Trees"": 0.98}, ""Operating Systems"": {""CPU Scheduling"": 0.6063, ""Deadlocks"": 0.6834, ""File Systems"": 0.6831, ""I/O Management"": 0.8614, ""Memory Management"": 0.5834, ""Paging"": 0.7415, ""Processes"": 0.4834, ""Security"": 0.5574, ""Synchronization"": 0.6849, ""Threads"": 0.6486}, ""Software Engineering"": {""Agile"": 0.468, ""Design Patterns"": 0.8089, ""Git/Version Control"": 0.7618, ""Project Management"": 0.7728, ""SDLC"": 0.5757, ""SRS"": 0.6886, ""Software Quality"": 0.8365, ""Testing"": 0.8004, ""UML"": 0.8295, ""Waterfall"": 0.7518}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00008,Synthetic Student 00008,True,developing,0.4556,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.6436, ""DNS"": 0.6555, ""HTTP"": 0.5814, ""IP Addressing"": 0.6476, ""Network Security"": 0.563, ""OSI"": 0.5316, ""Routing"": 0.7626, ""TCP"": 0.4758, ""TCP/IP"": 0.5401, ""UDP"": 0.5256}, ""DBMS"": {""Concurrency Control"": 0.2758, ""DBMS Basics"": 0.437, ""ER Model"": 0.3582, ""Indexing"": 0.5095, ""Joins"": 0.5064, ""Keys"": 0.3129, ""Normalization"": 0.4778, ""Relational Algebra"": 0.2466, ""SQL"": 0.3708, ""Transactions"": 0.3388}, ""DSA"": {""Arrays"": 0.5856, ""Dynamic Programming"": 0.2071, ""Graphs"": 0.2479, ""Hashing"": 0.3315, ""Heap"": 0.3093, ""Linked Lists"": 0.5497, ""Recursion"": 0.473, ""Stack & Queue"": 0.4552, ""Strings"": 0.4399, ""Trees"": 0.5867}, ""Operating Systems"": {""CPU Scheduling"": 0.1758, ""Deadlocks"": 0.3152, ""File Systems"": 0.0939, ""I/O Management"": 0.203, ""Memory Management"": 0.4252, ""Paging"": 0.0529, ""Processes"": 0.1122, ""Security"": 0.05, ""Synchronization"": 0.2659, ""Threads"": 0.2757}, ""Software Engineering"": {""Agile"": 0.1796, ""Design Patterns"": 0.2386, ""Git/Version Control"": 0.4535, ""Project Management"": 0.2277, ""SDLC"": 0.3474, ""SRS"": 0.2653, ""Software Quality"": 0.4686, ""Testing"": 0.2036, ""UML"": 0.2612, ""Waterfall"": 0.3531}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00009,Synthetic Student 00009,True,developing,0.4023,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.2221, ""DNS"": 0.2412, ""HTTP"": 0.4207, ""IP Addressing"": 0.2816, ""Network Security"": 0.5684, ""OSI"": 0.4266, ""Routing"": 0.6247, ""TCP"": 0.424, ""TCP/IP"": 0.5155, ""UDP"": 0.5733}, ""DBMS"": {""Concurrency Control"": 0.5601, ""DBMS Basics"": 0.2901, ""ER Model"": 0.1114, ""Indexing"": 0.3761, ""Joins"": 0.3227, ""Keys"": 0.1996, ""Normalization"": 0.2707, ""Relational Algebra"": 0.2492, ""SQL"": 0.2143, ""Transactions"": 0.2077}, ""DSA"": {""Arrays"": 0.4525, ""Dynamic Programming"": 0.5884, ""Graphs"": 0.4006, ""Hashing"": 0.4205, ""Heap"": 0.6881, ""Linked Lists"": 0.3556, ""Recursion"": 0.2069, ""Stack & Queue"": 0.2649, ""Strings"": 0.4933, ""Trees"": 0.3216}, ""Operating Systems"": {""CPU Scheduling"": 0.449, ""Deadlocks"": 0.5077, ""File Systems"": 0.4897, ""I/O Management"": 0.5179, ""Memory Management"": 0.4312, ""Paging"": 0.4176, ""Processes"": 0.61, ""Security"": 0.5683, ""Synchronization"": 0.3445, ""Threads"": 0.3359}, ""Software Engineering"": {""Agile"": 0.05, ""Design Patterns"": 0.2992, ""Git/Version Control"": 0.343, ""Project Management"": 0.2516, ""SDLC"": 0.1069, ""SRS"": 0.5777, ""Software Quality"": 0.0999, ""Testing"": 0.3394, ""UML"": 0.2201, ""Waterfall"": 0.222}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00010,Synthetic Student 00010,True,emerging,0.3293,2026-08-28T02:51:58.772866+00:00,"{""Computer Networks"": {""DHCP"": 0.4056, ""DNS"": 0.6866, ""HTTP"": 0.432, ""IP Addressing"": 0.352, ""Network Security"": 0.2931, ""OSI"": 0.5219, ""Routing"": 0.3185, ""TCP"": 0.5092, ""TCP/IP"": 0.4886, ""UDP"": 0.478}, ""DBMS"": {""Concurrency Control"": 0.4975, ""DBMS Basics"": 0.5779, ""ER Model"": 0.3742, ""Indexing"": 0.6164, ""Joins"": 0.4492, ""Keys"": 0.5931, ""Normalization"": 0.5187, ""Relational Algebra"": 0.6386, ""SQL"": 0.7499, ""Transactions"": 0.5083}, ""DSA"": {""Arrays"": 0.4647, ""Dynamic Programming"": 0.3313, ""Graphs"": 0.5447, ""Hashing"": 0.3615, ""Heap"": 0.5529, ""Linked Lists"": 0.4922, ""Recursion"": 0.268, ""Stack & Queue"": 0.5799, ""Strings"": 0.3018, ""Trees"": 0.2779}, ""Operating Systems"": {""CPU Scheduling"": 0.4186, ""Deadlocks"": 0.3106, ""File Systems"": 0.4826, ""I/O Management"": 0.5374, ""Memory Management"": 0.4138, ""Paging"": 0.5427, ""Processes"": 0.2256, ""Security"": 0.3919, ""Synchronization"": 0.4915, ""Threads"": 0.4939}, ""Software Engineering"": {""Agile"": 0.2272, ""Design Patterns"": 0.2097, ""Git/Version Control"": 0.1679, ""Project Management"": 0.2529, ""SDLC"": 0.1786, ""SRS"": 0.0952, ""Software Quality"": 0.1088, ""Testing"": 0.2951, ""UML"": 0.2758, ""Waterfall"": 0.1932}}",SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
