feature,importance
categorical__topic_Memory Management,1.2631669410136415
categorical__topic_Concurrency Control,1.2431716314440364
categorical__topic_DHCP,1.237386395207036
categorical__topic_Processes,1.1600203763823695
categorical__topic_SRS,1.0731769610368918
categorical__topic_HTTP,0.94382048848588
numeric__overall_accuracy,0.9001549836425331
categorical__topic_SQL,0.8869290087387545
categorical__topic_ER Model,0.775934515562397
categorical__topic_Heap,0.7420291359693019
categorical__topic_Graphs,0.7354329251253237
categorical__topic_TCP/IP,0.7205228844624236
categorical__topic_Relational Algebra,0.7058291212853542
categorical__topic_Linked Lists,0.6893458663397779
numeric__topic_avg_response_time,0.6880322613743635
numeric__subject_accuracy,0.6861954360797436
categorical__topic_Network Security,0.6584433632105298
categorical__topic_Agile,0.6037548053668959
categorical__difficulty_Hard,0.5955834467192234
categorical__topic_Paging,0.5781688706709103
categorical__topic_Strings,0.5574039038760121
categorical__topic_TCP,0.5434903950157313
categorical__topic_Synchronization,0.5399566184785806
categorical__topic_Dynamic Programming,0.5318868411191551
categorical__topic_I/O Management,0.5099905023082327
categorical__topic_Recursion,0.49019841370497214
categorical__subject_DSA,0.4892930242130114
categorical__topic_UML,0.4802967881930343
categorical__topic_Routing,0.46977589787020296
categorical__topic_Joins,0.449588605124863
categorical__topic_Design Patterns,0.44491793117355233
categorical__topic_Arrays,0.4216013640004385
categorical__topic_Indexing,0.4099798357273867
categorical__topic_Stack & Queue,0.40676215827338597
categorical__topic_Project Management,0.4058412732690414
categorical__topic_Software Quality,0.40529852344151907
categorical__topic_Git/Version Control,0.38748889515974727
categorical__subject_DBMS,0.3818109639112329
categorical__topic_Keys,0.3610205029534446
numeric__prior_attempts,0.35716144477048317
categorical__topic_CPU Scheduling,0.3556727619447238
categorical__topic_DBMS Basics,0.34721629079335187
categorical__subject_Operating Systems,0.33587832709465476
numeric__difficulty_accuracy,0.3303697090386463
categorical__difficulty_Medium,0.31556358297337117
categorical__topic_Trees,0.3055891884117688
categorical__topic_Waterfall,0.30326217840011493
categorical__topic_Transactions,0.2669376259318458
categorical__topic_OSI,0.2451909678083798
categorical__topic_UDP,0.2362613813765089
numeric__recent_accuracy_10,0.2355474425678077
numeric__topic_accuracy,0.2355474425678077
numeric__recent_accuracy_5,0.2355474425678077
numeric__previous_correct,0.23229269846869532
categorical__subject_Software Engineering,0.23171831082088362
categorical__topic_Normalization,0.22467687200642458
numeric__hours_since_topic_attempt,0.20898327899972738
categorical__subject_Computer Networks,0.1402816690560957
categorical__topic_IP Addressing,0.13895136255622043
categorical__topic_Threads,0.12864616907186555
categorical__difficulty_Easy,0.11679418259324278
categorical__topic_Testing,0.11615907732479878
numeric__topic_response_time_std,0.08298784514023856
categorical__topic_File Systems,0.06331874858598953
categorical__topic_Security,0.056607304287058555
categorical__topic_DNS,0.05076211756643818
categorical__topic_Hashing,0.011329957047566138
categorical__topic_Deadlocks,0.011010346234337902
categorical__topic_SDLC,0.0013964439176829516
numeric__improvement_trend,0.0
