feature,importance
numeric__subject_accuracy,0.2571802408451747
numeric__overall_accuracy,0.23043131171258446
numeric__prior_attempts,0.09515925481432234
numeric__topic_avg_response_time,0.07174693290047038
numeric__hours_since_topic_attempt,0.03674128489190945
numeric__recent_accuracy_10,0.01886587650680106
categorical__subject_Computer Networks,0.018020868805162005
numeric__topic_response_time_std,0.016661850871682336
numeric__topic_accuracy,0.01655809518738218
categorical__subject_DSA,0.014207111039566789
categorical__difficulty_Medium,0.014112399286943949
numeric__recent_accuracy_5,0.013331614487049618
categorical__difficulty_Easy,0.013230369038199317
numeric__previous_correct,0.013200058427512993
categorical__subject_Operating Systems,0.01239551474717595
categorical__difficulty_Hard,0.01116757121881022
categorical__subject_DBMS,0.010698053543250348
numeric__difficulty_accuracy,0.009892612779213682
categorical__subject_Software Engineering,0.009454365580885507
categorical__topic_Memory Management,0.007387100098763637
categorical__topic_SQL,0.006312911927639496
categorical__topic_Routing,0.005822955596969904
categorical__topic_Concurrency Control,0.005356191371869874
categorical__topic_HTTP,0.005323930499758912
categorical__topic_DHCP,0.005092714662232976
categorical__topic_Trees,0.004199776672432941
categorical__topic_Graphs,0.0035444623609299313
categorical__topic_Synchronization,0.003440124521034078
categorical__topic_Arrays,0.0032343128040915855
categorical__topic_Heap,0.002836862251346543
categorical__topic_Normalization,0.0026059626599104634
categorical__topic_DNS,0.0025622148977745597
categorical__topic_DBMS Basics,0.002482400654283606
categorical__topic_Waterfall,0.0024434978263601355
categorical__topic_Dynamic Programming,0.002418698635672524
categorical__topic_Paging,0.0023158000002408033
categorical__topic_Network Security,0.002254773052885051
categorical__topic_Joins,0.0022539003973877703
categorical__topic_Processes,0.0022408558612725463
categorical__topic_Design Patterns,0.0022355845328757484
categorical__topic_Software Quality,0.0022130227602783674
categorical__topic_Transactions,0.002192267731494956
categorical__topic_SRS,0.002184730734339176
categorical__topic_Strings,0.0021528813778741835
categorical__topic_File Systems,0.002143040802791537
categorical__topic_ER Model,0.001890831763229945
categorical__topic_OSI,0.0016957141912480476
categorical__topic_I/O Management,0.0016950850705358708
categorical__topic_Indexing,0.001679206381942924
categorical__topic_Hashing,0.0015908311505046548
categorical__topic_Project Management,0.0014703414593697705
categorical__topic_Stack & Queue,0.001450968357041063
categorical__topic_CPU Scheduling,0.001443506405153592
categorical__topic_TCP/IP,0.00139291845885356
categorical__topic_Threads,0.0013882911337842726
categorical__topic_Relational Algebra,0.0013554265561782223
categorical__topic_Recursion,0.0013416120687518341
categorical__topic_Security,0.00121883770919752
categorical__topic_UML,0.0011955598903960604
categorical__topic_UDP,0.0011450454700526877
categorical__topic_TCP,0.00114119407020056
categorical__topic_SDLC,0.0010652984319256436
categorical__topic_Testing,0.0010169444244523007
categorical__topic_Linked Lists,0.0009085874918726985
categorical__topic_IP Addressing,0.0008971010184609905
categorical__topic_Agile,0.0008603282559303718
categorical__topic_Keys,0.0007333782634583167
categorical__topic_Deadlocks,0.0006669948355425572
categorical__topic_Git/Version Control,0.00044963576530802164
numeric__improvement_trend,0.0
